seed,R,C,M,train acc,test acc,epsilon,evaluations
25077.0,8.0,10.0,100.0,0.991,,0.1711768623167495,71408.0
25077.0,64.0,10.0,100.0,0.991,,0.120993366378898,66237.0
25077.0,256.0,10.0,100.0,0.991,,0.0330114405233358,67500.0
25077.0,512.0,10.0,100.0,0.991,,0.019279463247875,68423.0
25077.0,1024.0,10.0,100.0,0.991,,0.0155206660831549,68287.0
25077.0,2048.0,10.0,100.0,0.991,,0.023813235208772,67516.0
25077.0,4096.0,10.0,100.0,0.991,,0.0085907380270971,68237.0
5200.0,1.0,10.0,100.0,0.982,,0.9677285219202472,85680.0
5200.0,4.0,10.0,100.0,0.992,,0.2640936918917658,77751.0
5200.0,8.0,10.0,100.0,0.992,,0.0927292612934562,74288.0
